H Left hand Bat,A Left hand Bat,H NoBat,A NoBat,H Right hand Bat,A Right hand Bat,City,H Left Arm Wrist Spinner,A Left Arm Wrist Spinner,H Right Arm Spinner,A Right Arm Spinner,H Left Arm Fast,A Left Arm Fast,H Right Arm Fast,A Right Arm Fast,H NoBowl,A NoBowl,H Left Arm Spinner,A Left Arm Spinner,H Right Arm Wrist Spinner,A Right Arm Wrist Spinner,H Top order Batter,A Top order Batter,H Bowling Allrounder,A Bowling Allrounder,H Wicketkeeper,A Wicketkeeper,H Allrounder,A Allrounder,H Batting Allrounder,A Batting Allrounder,H Batter,A Batter,H Middle order Batter,A Middle order Batter,H Opening Batter,A Opening Batter,H Bowler,A Bowler,Result
0,3,0,0,11,8,Dubai,0,0,1,3,1,3,6,2,2,0,1,0,0,3,1,1,1,0,1,1,3,2,0,0,0,0,2,2,0,1,3,4,0
3,1,0,0,8,10,Sharjah,0,0,4,1,1,1,4,4,0,2,2,2,0,1,3,0,0,2,1,1,3,3,0,0,0,0,1,1,0,1,3,3,0
1,1,0,0,10,10,Unknown,1,0,3,1,1,2,3,4,1,2,0,1,2,1,1,0,0,0,1,1,2,4,0,0,0,1,2,0,1,1,4,4,0
4,3,0,0,7,8,Karachi,0,0,3,4,1,2,4,2,1,0,1,1,1,2,1,2,1,1,1,1,0,1,0,0,0,1,3,1,1,0,4,4,1
2,3,0,1,9,7,Karachi,0,1,2,1,0,1,5,4,2,3,1,1,1,0,0,0,0,0,2,1,0,2,0,0,0,0,3,2,1,1,5,5,1
2,3,0,1,9,7,Karachi,0,1,2,1,0,1,5,4,2,3,1,1,1,0,0,0,0,0,2,1,0,2,0,0,0,0,3,2,1,1,5,5,1
5,3,0,0,6,8,Karachi,1,0,3,3,1,1,3,4,0,0,2,1,1,2,1,1,0,0,1,1,2,3,1,0,1,0,1,1,1,1,3,4,1
4,5,0,0,7,6,Lahore,1,1,2,3,1,1,4,4,0,1,3,1,0,0,0,0,0,0,1,2,4,0,0,2,1,0,0,2,1,1,4,4,1
3,5,0,0,8,6,Lahore,0,1,2,2,2,1,3,4,1,1,2,2,1,0,0,2,0,0,2,0,4,2,0,0,0,1,0,1,1,2,4,3,1
2,5,0,0,9,6,Lahore,0,1,3,1,1,2,4,3,0,2,2,1,1,1,0,1,0,0,1,1,4,2,0,0,3,1,0,1,0,1,3,4,0
1,2,0,0,10,9,Dubai,0,0,1,5,1,1,4,3,2,0,3,2,0,0,0,3,1,0,1,1,4,2,0,0,0,0,2,1,0,0,3,4,0
3,2,0,0,8,9,Abu Dhabi,0,0,3,2,2,3,4,3,0,2,1,1,1,0,0,0,2,2,1,1,2,1,0,0,1,0,1,4,1,0,3,3,1
2,3,0,0,9,8,Unknown,1,1,1,2,1,1,4,4,2,1,1,1,1,1,0,1,1,0,2,1,2,3,0,0,0,0,1,3,1,0,4,3,1
0,3,0,0,11,8,Unknown,0,0,1,5,2,0,3,3,2,0,1,2,2,1,0,2,0,1,2,1,4,2,0,0,0,0,2,1,0,1,3,3,1
6,3,0,0,5,8,Abu Dhabi,1,0,3,2,2,1,3,7,1,0,1,0,0,1,1,1,1,0,0,1,1,3,0,0,1,0,1,2,2,1,4,3,0
3,4,0,0,8,7,Abu Dhabi,1,0,2,4,1,2,4,3,1,0,2,1,0,1,3,0,0,2,2,2,1,2,0,0,0,0,0,1,0,1,5,3,1
4,3,0,0,7,8,Unknown,0,0,4,2,2,1,3,4,0,2,1,1,1,1,0,0,0,1,1,2,4,1,1,0,1,0,0,1,0,2,4,4,0
3,3,0,0,8,8,Unknown,0,0,2,4,1,1,4,2,2,0,1,3,1,1,0,2,1,1,2,1,1,1,0,0,0,0,1,1,2,1,4,4,0
4,3,0,0,7,8,Abu Dhabi,0,0,2,3,0,2,6,4,1,0,0,1,2,1,1,0,1,2,1,1,3,2,0,0,0,1,2,1,1,1,2,3,0
3,5,0,0,8,6,Dubai,1,0,1,2,2,2,3,3,1,1,1,2,2,1,3,0,0,1,1,1,2,2,1,0,1,0,0,1,0,2,3,4,2
1,1,0,0,10,10,Rawalpindi,0,0,1,1,2,1,2,5,3,2,1,1,2,1,1,0,0,0,1,2,3,3,1,0,0,0,1,0,0,2,4,4,1
3,0,0,0,8,11,Lahore,0,0,2,1,1,2,4,3,0,3,3,0,1,2,0,0,0,0,1,1,4,3,0,1,1,0,0,1,1,1,4,4,1
4,1,0,0,7,10,Karachi,1,0,2,2,1,0,3,5,2,1,1,1,1,2,2,0,0,0,1,2,0,3,0,0,1,0,1,0,1,2,5,4,0
4,2,0,0,7,9,Karachi,0,0,0,3,1,1,5,5,1,1,3,0,1,1,1,0,0,1,0,1,2,3,0,0,1,1,2,0,1,2,4,3,0
3,3,0,0,8,8,Karachi,1,0,2,2,1,1,4,5,1,0,1,3,1,0,1,0,1,0,0,1,1,4,0,0,1,2,1,0,2,1,4,3,1
1,4,0,0,10,7,Karachi,0,0,2,2,2,1,4,5,2,1,0,2,1,0,1,0,0,0,0,1,3,4,0,0,0,1,3,0,0,2,4,3,0
3,5,0,0,8,6,Sharjah,0,0,4,2,2,2,2,3,1,1,2,2,0,1,3,0,0,1,1,1,2,2,0,0,0,0,0,1,1,2,4,4,0
3,2,0,0,8,9,Unknown,0,1,2,2,1,1,4,4,2,1,1,1,1,1,0,1,1,0,2,1,1,3,0,0,0,0,1,2,2,0,4,4,0
2,5,0,0,9,6,Abu Dhabi,0,0,2,2,3,1,3,4,2,2,1,1,0,1,0,2,2,0,1,1,1,0,0,0,0,0,4,2,0,1,3,5,0
4,6,0,0,7,5,Abu Dhabi,0,1,2,4,1,2,3,2,3,1,1,1,1,0,2,1,0,1,2,0,0,2,0,0,0,1,2,1,0,2,5,3,1
3,5,0,0,8,6,Karachi,1,2,2,2,0,2,4,3,1,1,2,1,1,0,1,2,0,0,1,0,2,4,0,0,2,1,2,0,0,1,3,3,0
3,2,0,0,8,9,Karachi,0,0,1,3,1,3,5,2,1,3,1,0,2,0,2,1,0,0,2,1,2,1,0,0,0,1,1,2,0,0,4,5,0
2,3,0,0,9,8,Karachi,0,0,2,2,0,0,4,6,1,1,1,1,3,1,2,1,0,0,2,1,2,1,0,0,0,1,1,2,0,1,4,4,1
2,4,0,0,9,7,Abu Dhabi,0,1,2,2,3,0,3,4,2,1,1,1,0,2,0,4,2,0,1,2,1,1,0,0,0,0,4,1,0,0,3,3,1
5,3,0,0,6,8,Unknown,0,0,5,4,1,1,3,2,1,0,1,3,0,1,0,2,0,1,1,1,4,1,1,0,1,0,0,1,1,1,3,4,0
3,3,0,0,8,8,Sharjah,0,0,3,2,3,0,2,5,0,1,0,1,3,2,0,0,0,2,1,1,2,3,0,1,0,0,3,2,1,1,4,1,0
6,6,0,0,5,5,Karachi,0,1,3,2,2,3,3,3,0,1,1,1,2,0,1,1,0,0,1,0,1,1,1,0,1,1,1,2,1,2,4,4,2
4,1,0,0,7,10,Lahore,1,0,2,1,1,0,4,4,1,2,2,1,0,3,0,0,0,0,2,2,4,3,0,0,0,0,0,0,1,2,4,4,1
0,4,0,0,11,7,Sharjah,0,0,1,2,1,2,5,3,2,1,1,2,1,1,0,0,1,0,1,1,5,3,0,0,0,0,1,1,0,2,3,4,1
3,3,0,0,8,8,Unknown,0,0,2,5,2,0,3,2,2,0,1,3,1,1,0,2,0,1,1,1,4,2,0,0,0,0,2,1,1,1,3,3,2
5,3,0,0,6,8,Abu Dhabi,2,0,3,1,2,2,2,4,1,3,1,1,0,0,1,0,0,1,0,1,2,1,0,0,1,0,1,3,2,1,4,4,0
2,2,0,0,9,9,Karachi,0,0,4,3,0,2,5,3,0,3,0,0,2,0,1,1,1,1,0,1,3,1,1,0,0,1,2,2,1,0,2,4,0
5,4,0,0,6,7,Karachi,2,0,2,3,2,1,3,4,1,0,1,2,0,1,2,1,0,0,0,2,3,4,0,0,1,0,0,0,1,1,4,3,0
4,4,0,0,7,7,Abu Dhabi,0,2,2,2,1,1,4,3,2,1,1,2,1,0,1,3,0,0,2,2,0,1,0,0,0,0,2,0,1,0,5,5,1
1,4,0,0,10,7,Unknown,0,0,2,4,1,2,3,2,2,0,1,2,2,1,0,0,0,0,2,1,3,5,0,1,0,1,2,0,0,0,4,3,0
4,3,0,0,7,8,Sharjah,0,1,2,2,0,3,5,2,1,1,1,0,2,2,1,2,2,0,0,1,2,1,1,0,0,1,2,1,1,1,2,4,0
3,6,0,0,8,5,Rawalpindi,1,0,1,3,2,2,4,3,2,0,0,1,1,2,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,4,4,0
6,0,0,0,5,11,Multan,0,0,3,1,2,2,3,3,0,3,1,1,2,1,1,0,0,0,1,1,1,3,1,1,1,0,1,1,1,1,4,4,1
4,6,0,0,7,5,Karachi,0,0,2,3,1,2,5,3,1,0,2,1,0,2,0,1,0,0,1,1,4,1,0,1,1,1,0,1,2,1,3,4,1
5,1,0,0,6,10,Rawalpindi,1,0,1,1,2,2,3,2,2,4,1,0,1,2,1,1,1,0,1,1,1,2,0,1,1,0,1,1,1,1,4,4,0
4,3,0,0,7,8,Sharjah,0,0,3,2,2,0,3,5,1,1,2,1,0,2,3,0,0,2,1,1,2,3,0,1,0,0,0,2,1,1,4,1,0
3,0,0,0,8,11,Karachi,0,0,2,1,0,1,4,6,3,1,1,1,1,1,1,1,2,1,1,1,3,4,1,0,0,0,2,0,0,0,1,4,1
1,4,0,0,10,7,Karachi,0,2,2,2,2,1,5,4,2,1,0,1,0,0,0,2,2,0,1,0,1,3,1,0,1,1,2,0,0,1,3,4,0
0,3,0,0,11,8,Unknown,0,0,0,2,2,2,4,3,2,2,1,1,2,1,0,0,1,0,2,1,3,4,0,0,0,0,1,2,1,1,3,3,1
5,3,0,0,6,8,Abu Dhabi,2,0,3,4,1,2,2,3,1,0,2,1,0,1,1,0,0,2,0,1,2,3,0,0,1,0,1,1,2,1,4,3,1
4,4,0,0,7,7,Abu Dhabi,0,1,2,1,1,1,5,4,1,3,1,1,1,0,2,1,0,1,1,1,1,1,0,0,0,0,2,2,1,1,4,4,1
4,3,0,0,7,8,Unknown,0,0,2,4,1,0,4,2,2,0,1,3,1,2,1,2,1,1,2,1,0,3,0,0,0,0,1,0,2,1,4,3,0
3,2,0,0,8,9,Karachi,0,0,1,3,0,0,6,6,1,1,1,0,2,1,2,0,0,1,2,1,2,3,0,1,0,0,1,2,0,1,4,2,0
3,0,0,0,8,11,Lahore,1,0,1,1,3,1,1,6,1,1,1,1,3,1,2,1,0,1,1,1,1,4,1,0,1,0,0,0,1,0,4,4,0
0,3,0,0,11,8,Sharjah,0,1,1,1,1,2,5,3,2,1,1,0,1,3,0,2,1,0,1,1,5,1,0,1,0,1,1,1,0,0,3,4,1
5,6,0,0,6,5,Lahore,1,0,2,3,2,2,3,3,1,0,2,1,0,2,1,1,0,0,0,1,2,1,0,2,1,0,1,1,2,1,4,4,2
2,6,0,0,9,5,Lahore,0,2,1,1,2,0,3,5,2,1,3,1,0,1,0,2,0,3,1,1,4,2,0,0,2,0,0,1,1,1,3,1,0
5,3,0,0,6,8,Chattogram,0,0,4,3,0,0,3,4,0,0,3,2,1,2,0,1,0,0,1,0,5,4,0,0,1,1,1,3,0,0,3,2,0
3,3,0,0,8,8,Dhaka,0,0,2,2,1,0,4,5,2,2,1,2,1,0,0,2,0,0,1,1,5,4,1,0,1,0,0,0,0,1,3,3,0
2,3,0,0,9,8,Dhaka,0,0,4,2,1,0,2,4,1,1,2,3,1,1,0,0,0,0,1,1,4,4,1,0,1,0,1,3,0,0,3,3,1
6,3,0,0,5,8,Chattogram,0,0,3,3,1,0,3,6,2,2,1,0,1,0,0,2,0,1,2,1,1,2,2,1,1,0,3,0,0,0,2,4,0
4,3,0,0,7,8,Dhaka,1,0,2,4,0,0,6,4,2,1,0,1,0,1,2,1,1,0,1,1,2,3,1,1,0,1,0,1,0,0,4,3,1
6,3,0,0,5,8,Dhaka,2,0,1,1,0,1,3,3,2,1,3,3,0,2,2,0,2,0,1,1,3,5,0,0,0,1,0,2,0,0,3,2,1
5,6,0,0,6,5,Dhaka,0,0,5,3,2,1,1,1,2,3,1,2,0,1,1,1,0,1,0,2,5,1,0,1,2,0,0,1,0,1,3,3,0
4,5,0,0,7,6,Dhaka,0,0,4,3,2,1,3,1,1,3,1,2,0,1,2,1,0,1,1,2,4,1,0,1,1,0,0,1,0,1,3,3,1
4,3,0,0,7,8,Dhaka,0,0,3,3,1,1,4,2,1,3,2,2,0,0,2,0,0,0,1,1,5,3,0,1,0,0,0,1,0,2,3,3,0
5,4,0,0,6,7,Dhaka,0,0,2,3,1,1,2,4,4,2,1,1,1,0,0,0,2,1,1,1,2,4,0,1,0,2,0,0,4,0,2,2,1
2,3,0,0,9,8,Chattogram,0,0,2,1,1,1,4,5,3,2,1,2,0,0,2,2,0,0,2,1,0,2,0,0,1,0,1,0,0,2,5,4,0
5,1,0,0,6,10,Dhaka,0,0,1,4,1,0,3,5,2,1,2,0,2,1,1,1,0,0,0,1,3,1,0,1,1,0,1,3,1,0,4,4,1
4,4,0,0,7,7,Dhaka,1,0,3,2,1,1,2,2,1,3,0,1,3,2,1,0,0,1,2,1,2,3,0,0,0,0,1,1,1,3,4,2,0
4,4,0,0,7,7,Sylhet,0,0,1,2,2,0,3,4,2,2,1,3,2,0,2,0,0,1,1,1,4,3,0,0,0,1,1,0,0,2,3,3,1
3,4,0,0,8,7,Dhaka,0,1,3,2,1,1,3,4,2,1,1,1,1,1,0,1,0,0,1,1,6,1,1,1,1,0,0,2,0,1,2,4,1
5,5,0,0,6,6,Dhaka,0,0,4,3,1,1,3,4,2,1,1,2,0,0,2,1,0,0,1,0,2,4,0,0,0,0,1,1,1,2,4,3,1
6,4,0,0,5,7,Sylhet,1,0,2,1,1,1,3,3,1,3,1,2,2,1,1,0,0,2,2,1,2,4,0,0,0,0,1,0,1,3,4,1,0
3,5,0,0,8,6,Dhaka,0,0,3,3,0,1,5,3,1,1,2,2,0,1,0,0,1,0,1,1,3,2,1,0,2,1,0,3,1,0,2,4,1
3,2,0,0,8,9,Dhaka,1,0,1,4,2,0,2,5,3,1,2,0,0,1,0,2,1,0,1,1,2,3,0,1,0,1,0,0,3,0,4,3,0
3,4,0,0,8,7,Chattogram,0,1,3,2,1,1,3,4,2,1,2,1,0,1,0,2,0,0,1,1,2,1,1,0,2,0,1,3,1,0,3,4,0
4,3,0,0,7,8,Dhaka,0,0,5,3,1,1,2,3,1,3,1,1,1,0,1,0,0,0,0,1,5,3,0,1,1,0,1,1,0,2,3,3,1
6,5,0,0,5,6,Dhaka,0,0,4,2,2,2,1,2,3,2,1,2,0,1,1,1,0,1,1,1,4,1,0,1,2,0,0,1,0,1,3,4,0
4,2,0,0,7,9,Dhaka,0,0,3,3,0,0,3,4,2,2,2,2,1,0,3,0,0,0,0,0,2,5,0,0,0,0,1,1,1,2,4,3,0
2,6,0,0,9,5,Dhaka,0,2,2,1,0,0,4,3,2,2,2,3,1,0,1,2,0,2,1,1,4,3,0,0,0,0,1,0,0,0,4,3,1
3,3,0,0,8,8,Dhaka,0,0,1,4,1,1,5,4,2,1,2,0,0,1,0,3,0,0,2,0,4,5,0,0,0,0,1,0,1,0,3,3,0
4,5,0,0,7,6,Dhaka,0,0,3,4,1,1,3,2,3,1,1,3,0,0,0,2,0,0,2,1,3,3,0,0,1,1,1,0,1,1,3,3,1
5,4,0,0,6,7,Chattogram,0,0,3,3,0,1,4,3,2,1,1,1,1,2,0,2,1,1,2,0,0,2,2,0,1,0,3,2,0,1,2,3,0
5,3,0,0,6,8,Chattogram,0,0,2,3,1,0,4,4,1,1,2,2,1,1,2,1,1,0,1,1,1,4,0,0,0,0,0,3,2,0,4,2,1
4,4,0,0,7,7,Dhaka,0,1,5,2,1,1,3,4,2,1,0,1,0,1,2,1,0,0,1,1,2,1,0,1,0,0,1,3,1,0,4,4,1
2,5,0,0,9,6,Dhaka,1,1,3,2,0,1,4,3,2,3,1,1,0,0,2,1,0,0,1,1,1,1,0,0,2,2,0,2,0,0,5,4,0
5,4,0,0,6,7,Dhaka,0,0,5,2,2,0,2,4,1,3,1,1,0,1,0,1,1,2,1,2,2,2,0,0,1,0,2,0,1,2,3,2,0
4,4,0,0,7,7,Chattogram,0,0,1,2,2,0,5,3,2,2,1,2,0,2,1,0,0,2,2,1,4,3,0,0,0,0,1,0,0,3,3,2,1
4,2,0,0,7,9,Dhaka,0,0,3,2,1,0,3,4,3,2,1,2,0,1,0,1,0,0,2,1,3,4,0,0,1,0,1,1,1,0,3,4,0
4,4,0,0,7,7,Dhaka,0,1,3,1,0,0,3,4,2,2,2,2,1,1,0,1,0,0,0,0,5,4,0,0,2,0,1,2,1,1,2,3,1
6,4,0,0,5,7,Dhaka,0,0,3,3,2,1,1,5,4,1,1,1,0,0,2,1,0,1,1,1,4,2,0,1,1,0,0,2,0,0,3,3,1
2,3,0,0,9,8,Dhaka,1,0,2,2,1,0,2,5,2,2,2,1,1,1,3,1,0,1,1,1,1,2,0,0,1,1,1,2,0,0,4,3,0
3,2,0,0,8,9,Dhaka,1,0,3,2,1,0,4,6,1,2,1,1,0,0,0,0,0,0,1,1,4,6,1,1,2,0,0,0,0,1,3,2,0
3,3,0,0,8,8,Chattogram,0,0,2,3,0,1,5,3,1,3,2,0,1,1,0,2,0,0,1,2,5,3,1,0,0,0,0,0,1,1,3,3,0
6,2,0,0,5,9,Sylhet,1,0,2,5,2,0,1,5,2,1,0,0,3,0,0,2,0,0,2,0,2,4,0,0,1,1,1,0,1,1,4,3,1
2,5,0,0,9,6,Dhaka,0,1,3,5,0,1,6,3,1,0,1,1,0,0,2,2,0,0,0,0,2,3,1,1,1,0,0,1,1,0,4,4,1
3,5,0,0,8,6,Dhaka,0,1,3,5,0,1,5,3,1,0,2,1,0,0,0,2,1,0,1,0,3,3,1,1,2,0,0,1,1,0,2,4,1
4,3,0,0,7,8,Sylhet,1,0,2,4,1,0,2,4,2,2,0,1,3,0,0,1,0,1,2,1,2,2,0,0,1,2,1,0,1,1,4,3,0
2,2,0,0,9,9,Dhaka,0,0,2,2,1,1,4,4,3,3,0,1,1,0,0,2,1,0,1,2,3,0,0,0,2,1,0,1,1,0,3,5,1
5,5,0,0,6,6,Chattogram,0,0,4,5,2,2,2,1,2,2,1,1,0,0,2,1,0,0,1,0,3,5,0,0,2,2,0,0,0,0,3,3,1
2,5,0,0,9,6,Dhaka,0,0,0,2,0,0,6,3,1,2,2,3,2,1,0,3,1,0,1,0,3,2,0,0,0,0,1,1,2,1,3,4,1
5,3,0,0,6,8,Dhaka,0,0,3,2,1,0,1,6,3,2,2,1,1,0,1,1,1,1,2,1,1,2,1,0,0,1,2,2,0,0,3,3,0
2,3,0,0,9,8,Dhaka,0,0,4,2,0,1,3,3,1,1,2,2,1,2,3,0,0,0,1,1,2,2,0,2,0,1,1,1,1,0,3,4,0
3,5,1,0,7,6,Dhaka,0,0,3,4,1,1,3,2,2,3,2,1,0,0,0,0,0,0,1,2,5,3,1,0,0,0,1,1,0,1,2,4,0
6,3,0,0,5,8,Chattogram,0,0,2,3,1,1,4,4,2,1,1,1,1,1,0,1,0,0,2,1,1,3,2,0,0,1,3,1,0,0,3,4,1
5,4,0,0,6,7,Dhaka,0,1,4,2,1,1,2,3,1,3,3,1,0,0,3,2,0,2,1,1,2,1,0,0,0,0,0,0,1,2,4,3,0
3,5,0,0,8,6,Dhaka,0,0,3,2,0,0,3,5,3,3,1,1,1,0,1,2,2,1,2,2,2,1,0,1,0,0,0,0,2,0,2,4,1
2,3,0,0,9,8,Sylhet,0,0,2,2,0,1,6,4,2,2,1,1,0,1,2,0,0,0,1,1,0,5,0,1,2,1,1,0,0,0,5,3,0
3,4,0,0,8,7,Dhaka,0,0,2,2,0,0,4,3,2,3,1,2,2,1,0,1,0,2,2,2,0,2,1,0,0,0,3,0,1,2,4,2,0
4,4,0,0,7,7,Dhaka,0,0,1,3,1,0,4,3,1,1,3,2,1,2,0,3,0,2,1,1,5,0,0,0,0,0,2,0,0,2,3,3,0
1,2,0,0,10,9,Dhaka,0,0,2,1,0,1,5,3,1,1,1,3,2,2,1,0,1,0,0,1,3,3,0,1,3,0,1,0,0,2,2,4,0
4,3,0,0,7,8,Dhaka,1,0,2,4,0,0,3,5,3,0,2,2,0,0,2,0,2,0,1,1,1,4,0,1,0,1,0,1,2,0,3,3,0
4,4,0,0,7,7,Chattogram,0,0,5,1,0,2,6,5,0,2,0,1,0,0,2,1,0,0,1,2,4,3,0,0,0,1,0,1,0,0,4,3,1
4,2,0,0,7,9,Dhaka,0,0,4,2,1,1,3,5,2,1,0,1,1,1,2,0,0,0,1,1,3,5,0,1,0,0,1,0,1,0,3,4,1
4,6,0,0,7,5,Dhaka,0,0,2,3,0,1,5,4,2,1,1,2,1,0,0,1,2,0,1,0,3,4,0,0,0,1,2,1,1,1,2,3,1
5,4,0,0,6,7,Sylhet,0,0,4,3,1,0,4,5,1,1,1,1,0,1,1,3,1,0,1,0,2,5,0,0,0,0,2,0,1,0,3,3,1
5,3,0,0,6,8,Dhaka,0,0,4,4,1,0,2,5,3,0,1,2,0,0,0,0,0,0,2,1,3,4,0,0,0,1,1,1,1,0,4,4,0
4,2,0,0,7,9,Dhaka,0,0,4,5,0,1,4,4,1,0,2,1,0,0,0,1,0,0,1,1,4,4,0,1,1,2,1,0,1,0,3,2,1
2,5,0,0,9,6,Sylhet,1,0,2,3,0,2,5,1,2,2,1,2,0,1,3,1,0,1,1,1,1,2,1,1,0,0,1,1,0,1,4,3,0
2,5,0,0,9,6,Dhaka,0,0,5,2,0,1,5,2,1,4,0,1,0,1,2,0,0,2,0,1,4,2,1,0,1,0,0,0,0,4,3,2,0
2,3,0,0,9,8,Dhaka,0,0,1,3,0,1,5,3,2,3,3,0,0,1,2,2,1,0,1,2,2,3,0,0,0,0,0,0,1,1,4,3,0
5,5,0,0,6,6,Sylhet,1,0,4,2,2,2,3,4,0,1,1,2,0,0,3,0,0,0,0,1,4,3,0,0,0,1,1,3,0,0,3,3,1
3,3,0,0,8,8,Dhaka,0,0,4,4,0,0,4,5,1,1,2,1,0,0,0,2,1,0,1,0,3,3,1,1,2,1,0,0,1,0,2,4,1
5,6,0,0,6,5,Dhaka,2,0,4,3,1,2,3,1,0,1,1,3,0,1,2,0,0,0,0,1,3,4,1,0,0,1,1,2,0,0,4,3,0
5,3,0,0,6,8,Dhaka,0,0,1,4,1,0,3,4,3,2,2,1,1,0,0,1,2,0,1,2,4,1,0,0,0,0,0,3,3,0,1,4,0
3,4,0,0,8,7,Dhaka,0,0,3,3,0,1,5,4,1,2,2,1,0,0,2,0,0,1,0,1,4,4,1,1,1,2,0,0,0,0,3,2,0
3,3,0,0,8,8,Dhaka,1,0,2,2,1,0,4,4,2,1,1,2,0,2,1,0,0,0,1,1,1,5,0,1,2,0,1,0,0,1,5,3,0
2,2,0,0,9,9,Dhaka,0,0,3,3,0,0,6,4,1,2,1,1,0,1,2,1,0,0,0,2,2,1,1,1,1,0,0,2,1,0,4,4,0
4,7,0,0,7,4,Sylhet,0,0,5,3,1,1,3,2,1,2,1,3,0,0,2,1,0,2,1,1,4,1,0,1,1,0,0,1,0,1,3,3,1
5,4,0,0,6,7,Dhaka,0,0,3,3,2,1,0,5,3,1,2,1,1,0,1,1,1,1,2,1,1,1,1,1,0,1,1,2,1,0,3,3,1
2,4,0,0,9,7,Dhaka,0,0,5,2,1,1,3,3,0,1,2,3,0,1,0,0,0,0,1,1,5,6,1,0,2,0,0,2,0,0,2,2,0
5,3,0,0,6,8,Sylhet,0,0,2,2,1,0,3,3,2,2,2,2,1,2,0,1,0,2,2,2,1,3,1,0,0,0,2,0,1,1,4,2,0
5,4,0,0,6,7,Dhaka,0,0,2,2,2,0,4,5,1,2,2,1,0,1,1,0,0,2,0,1,2,3,0,0,2,0,1,2,1,1,4,2,1
4,3,0,0,7,8,Dhaka,0,0,2,2,1,1,4,4,2,2,2,1,0,1,1,0,1,0,1,1,3,6,0,0,1,1,0,0,1,0,3,3,0
2,5,0,0,9,6,Chattogram,0,1,3,0,1,2,4,2,1,3,2,3,0,0,1,1,0,2,0,1,5,2,1,0,1,1,1,0,0,1,2,3,1
4,2,0,0,7,9,Chattogram,0,0,2,2,2,0,4,6,1,1,1,1,1,1,1,1,0,0,1,1,2,4,0,1,1,0,2,0,0,0,4,4,0
5,3,0,0,6,8,Dhaka,0,0,2,1,0,1,4,5,2,2,2,2,1,0,1,0,0,0,1,2,3,5,0,0,1,1,1,1,0,0,4,2,0
5,5,0,0,6,6,Chattogram,0,0,1,2,3,1,3,4,2,2,1,1,1,1,1,0,0,1,2,2,3,1,0,2,0,0,1,2,0,0,4,3,1
3,5,0,0,8,6,Dhaka,0,0,4,2,0,1,4,3,0,1,2,2,1,2,0,1,0,2,1,0,4,1,1,0,1,2,1,0,0,2,3,3,1
4,3,0,0,7,8,Dhaka,0,0,4,2,1,1,2,4,1,2,2,2,1,0,0,0,1,0,1,2,3,6,0,0,1,1,2,1,1,0,2,1,1
4,2,0,0,7,9,Dhaka,0,0,3,2,0,1,4,5,2,1,2,1,0,1,2,0,1,0,1,1,3,5,0,1,0,0,0,0,1,0,3,4,0
2,5,0,0,9,6,Dhaka,0,0,2,4,0,1,4,2,2,3,2,1,1,0,1,0,0,0,1,2,4,3,0,0,0,0,1,1,0,1,4,4,0
5,2,0,0,6,9,Dhaka,0,0,3,2,0,0,3,4,1,2,3,2,1,1,3,1,2,0,1,1,1,4,0,0,0,0,0,1,1,0,3,4,1
3,3,0,0,8,8,Dhaka,0,0,4,3,1,0,2,4,1,3,1,1,2,0,1,1,1,1,0,2,3,3,0,0,1,0,2,0,1,2,2,2,1
6,3,0,0,5,8,Sylhet,0,0,4,2,2,1,1,2,3,4,1,1,0,1,1,0,0,0,1,2,4,1,0,1,2,0,0,0,0,2,3,5,1
5,4,0,1,6,6,Dhaka,0,1,3,2,1,1,2,1,1,2,3,3,1,1,3,0,0,0,1,1,1,3,0,2,1,1,1,0,0,1,4,2,1
1,6,1,0,9,5,Dhaka,1,0,3,4,0,2,4,1,2,3,0,1,1,0,2,1,0,0,1,1,0,4,1,0,1,2,1,0,0,0,4,3,0
5,2,0,0,6,9,Chattogram,0,0,4,2,2,0,2,7,2,1,1,0,0,1,2,1,0,1,1,1,4,3,0,0,1,1,0,2,0,0,3,2,1
6,3,0,0,5,8,Chattogram,0,0,2,5,1,1,2,3,2,0,2,1,2,1,0,2,0,0,2,1,3,3,0,0,0,1,1,0,1,0,4,4,1
4,3,0,0,7,8,Dhaka,0,1,2,2,1,1,3,4,2,2,2,1,1,0,0,1,0,0,1,1,2,3,1,0,1,0,1,1,1,2,4,3,0
2,4,0,0,9,7,Dhaka,0,0,3,3,0,1,6,4,1,2,1,1,0,0,1,0,0,1,1,1,2,4,0,1,0,2,2,0,1,0,4,2,0
3,4,0,0,8,7,Dhaka,1,1,2,2,1,0,4,4,2,2,1,2,0,0,1,2,0,1,1,1,1,2,0,0,2,0,1,1,0,2,5,2,0
6,2,0,0,5,9,Sylhet,0,0,3,3,1,1,4,4,1,2,2,1,0,0,1,2,0,0,0,1,4,0,0,0,1,2,1,1,1,0,3,5,1
4,3,0,0,7,8,Dhaka,0,0,2,4,1,0,2,5,3,1,1,1,2,0,0,2,1,0,1,0,3,3,0,1,0,1,1,0,3,0,2,4,0
4,5,0,0,7,6,Dhaka,0,1,3,3,0,1,4,2,2,1,2,0,0,3,0,0,1,0,1,2,3,3,1,0,1,0,0,1,2,1,2,4,1
4,2,0,0,7,9,Dhaka,1,0,3,3,1,0,2,4,1,2,0,1,3,1,0,1,0,0,2,2,3,1,0,1,0,0,1,2,1,0,4,4,1
